Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Coal Supply Region,Production (short tons),Average Employees,Labor Hours
2023,103540,Dodge Mine,Alabama,Cullman,Active,Surface,Independent Producer Operator,Preparation Plant,Southern Mineral Resources Llc,"1915 County Road 8, Hanceville, AL 35077",,Appalachia Southern,0,7,"13,787"
2023,103489,John Poe Mine,Alabama,De Kalb,Permanently abandoned,Surface,Independent Producer Operator,Mine only,Kennedy Brothers Construction,"3024 Byler Road, Eldridge, AL 35554",,Appalachia Southern,"8,477",3,978
2023,100329,Oak Grove Preparation Plant,Alabama,Jefferson,Active,Underground,Operating Subsidiary,Preparation Plant,Crimson Oak Grove Resources Ll,"8360 Taylors Ferry Rd, Hueytown, AL 35023",United Mine Workers Of America,Appalachia Southern,0,55,"1,25,108"
2023,100851,Oak Grove Mine,Alabama,Jefferson,Active,Underground,Operating Subsidiary,Mine only,Crimson Oak Grove Resources Ll,"8800 Oak Grove Mine Road, Adger, AL 35006",United Mine Workers Of America,Appalachia Southern,"25,49,279",507,"12,52,918"
2023,101401,No 7 Mine,Alabama,Jefferson,Active,Underground,Independent Producer Operator,Mine and Preparation Plant,"Warrior Met Coal Mining, Llc","P.O. Box 133, Brookwood, AL 35444",United Mine Workers Of America,Appalachia Southern,"51,41,323",558,"16,11,127"
2023,103101,Pratt No. 1 Mine,Alabama,Jefferson,Temporarily closed,Surface,Independent Producer Operator,Preparation Plant,Iron Eagle Land Rehabilitation,"P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,0,8,"9,671"
2023,103182,Fishtrap,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,"Mays Mining, Inc.","345 20th Street West, Jasper, AL 35501",,Appalachia Southern,"7,654",14,"14,841"
2023,103285,Narley Mine,Alabama,Jefferson,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,Iron Eagle Land Rehabilitation,"P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,"59,682",54,"55,418"
2023,103419,Maxine-Pratt Mine,Alabama,Jefferson,Active,Underground,Independent Producer Operator,Mine only,Prospect Mining & Development,"2002 Second Ave. S., Jasper, AL 35501",,Appalachia Southern,"1,41,109",31,"88,977"
2023,103437,Black Warrior Mine No 1,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,"Black Warrior Minerals, Inc.","P.O. Box 530882, Mountain Broo, AL 35253",,Appalachia Southern,"84,201",33,"90,385"
2023,103523,Shannon Mine No. 3,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,"Rjr Mining Company, Inc.","7202 Highway 78, Cordova, AL 35550",,Appalachia Southern,"2,42,513",65,"1,51,768"
2023,103529,Sloan Mtn. No. 3,Alabama,Jefferson,Temporarily closed,Surface,Independent Producer Operator,Mine only,Iron Eagle Land Rehabilitation,"P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,"4,494",6,"6,727"
2023,102976,Piney Woods Preparation Plant,Alabama,Shelby,Active,Surface,Independent Producer Operator,Preparation Plant,"Camellia Met Mining, Llc","3400 County Road 260, Alabaster, AL 35114",,Appalachia Southern,0,3,"6,572"
2023,103217,Coke Mine No 1,Alabama,Shelby,Temporarily closed,Surface,Independent Producer Operator,Mine only,Karbon Holding Corp.,"1808 Surrey Oaks Lane, Vestavia, AL 35243",,Appalachia Southern,700,2,"1,026"
2023,103380,Calera,Alabama,Shelby,Active,Surface,Independent Producer Operator,Preparation Plant,Conrad Yelvington Distributors,"4636 Scarborough Dr, Lutz, FL 33559",,Appalachia Southern,0,1,"1,251"
2023,103380,Calera,Alabama,Shelby,Active,Underground,Independent Producer Operator,Preparation Plant,Conrad Yelvington Distributors,"4636 Scarborough Dr, Lutz, FL 33559",,Appalachia Southern,0,10,"23,765"
2023,101247,No 4 Mine,Alabama,Tuscaloosa,Active,Underground,Independent Producer Operator,Mine and Preparation Plant,"Warrior Met Coal Mining, Llc","14730 Lock 17 Rd, Brookwood, AL 35444",United Mine Workers Of America,Appalachia Southern,"25,04,213",363,"10,10,283"
2023,103436,Swann's Crossing,Alabama,Tuscaloosa,Active,Surface,Independent Producer Operator,Mine only,"Southland Resources, Inc.","P.O. Box 770, Cottondale, AL 35453",,Appalachia Southern,"2,75,356",92,"2,03,299"
2023,103548,Camp Cherry Austin,Alabama,Tuscaloosa,Active,Surface,Independent Producer Operator,Mine only,"Southland Resources, Inc.","P.O. Box 770, Cottondale, AL 35453",,Appalachia Southern,"1,38,625",8,"17,976"
2023,103556,Eaton Resources Pit 1,Alabama,Tuscaloosa,Active,Surface,Independent Producer Operator,Mine only,Eaton Resources Llc,"16241 B&l Road, Cottondale, AL 35453",,Appalachia Southern,"23,409",9,"10,474"
2023,103559,Rockcastle Mine,Alabama,Tuscaloosa,Active,Surface,Independent Producer Operator,Mine only,"Cahaba Resouces, Llc","P.O. Box 122, Vance, AL 35490",,Appalachia Southern,"64,888",20,"34,872"
2023,103577,Kellerman,Alabama,Tuscaloosa,Active,Underground,Independent Producer Operator,Mine only,Alaco Llc,"414 Elder Grove Dr., Ewing, VA 24248",,Appalachia Southern,"34,831",14,"17,626"
2023,100347,Choctaw Mine,Alabama,Walker,Active,Surface,Independent Producer Operator,Mine and Preparation Plant,Iron Eagle Land Rehabilitation,"P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,"2,287",15,"22,256"
2023,102901,Shoal Creek Mine,Alabama,Walker,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"Peabody Southeast Mining, Llc","P.O. Box 327, Oakman, AL 35579",United Mine Workers Of America,Appalachia Southern,"6,36,582",327,"9,45,925"
2023,103155,Corinth Prep Plant,Alabama,Walker,Active,Underground,Independent Producer Operator,Preparation Plant,Prospect Mining & Development,"1799 Elliott Blvd, Jasper, AL 35501",,Appalachia Southern,0,13,"32,861"
2023,103389,Carbon Hill Mine,Alabama,Walker,Active,Underground,Independent Producer Operator,Mine only,Clas Coal Company Inc.,"P.O. Box 400, Carbon Hill, AL 35549",,Appalachia Southern,"1,22,622",27,"67,083"
2023,103426,Carbon Hill Prep Plant,Alabama,Walker,Active,Underground,Independent Producer Operator,Preparation Plant,Prospect Mining & Development,"218 Highway 195, Jasper, AL 35503",,Appalachia Southern,0,9,"22,936"
2023,103456,No. 5 Mine,Alabama,Walker,Active,Surface,Independent Producer Operator,Mine only,"Mays Mining, Inc.","P.O. Box 1565, Jasper, AL 35502",,Appalachia Southern,"1,066",5,"2,303"
2023,5000030,Usibelli,Alaska,Denali,Active,Surface,Independent Producer Operator,Mine and Preparation Plant,Usibelli Coal Mine Inc,"P.O. Box 1000, Healy, AK 99743","International Brotherhood Of Teamsters, Chauffeurs, Warehouse",Western,"10,08,994",105,"2,08,177"
2023,503672,West Elk Mine,Colorado,Gunnison,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"Mountain Coal Company, L.L.C.","5174 Highway 133, Somerset, CO 81434",,Uinta Region,"31,30,767",330,"6,69,008"
2023,504864,King Ii,Colorado,La Plata,Active,Underground,Independent Producer Operator,Mine only,Gcc Energy Llc,"6473 County Road 120, Hesperus, CO 81326",,Western,"6,43,143",106,"1,85,614"
2023,504461,New Elk Prep Plant,Colorado,Las Animas,Permanently abandoned,Underground,Independent Producer Operator,Preparation Plant,New Elk Coal Company Llc,"12250 Hwy 12, Weston, CO 81091",,Western,0,32,"13,725"
2023,504975,Mi Vida Portals,Colorado,Las Animas,Temporarily closed,Underground,Independent Producer Operator,Mine only,New Elk Coal Company Llc,"12250 Hwy12, Weston, CO 81091",,Western,"63,625",55,"95,982"
2023,502838,Trapper Mine,Colorado,Moffat,Active,Surface,Independent Producer Operator,Mine only,Trapper Mining Inc,"P.O. Box 187, Craig, CO 81626",International Union Of Operation Engineers,Uinta Region,"16,02,995",142,"3,09,227"
2023,502962,Colowyo Mine,Colorado,Moffat,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Colowyo Coal Company L P,"5731 State Highway 13, Meeker, CO 81641",,Uinta Region,"17,02,989",198,"3,84,980"
2023,1202445,Addcar System 40 Hwm Serial No,Colorado,Moffat,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,Mega Highwall Mining Llc,"12081 Virginia Blvd., Ashland, KY 40112",,Uinta Region,"5,55,696",19,"47,374"
2023,4003376,Addcar System 16,Colorado,Moffat,Active,Surface,Independent Producer Operator,Mine only,Mega Highwall Mining Llc,"12081 Va. Blvd, Ashland, KY 41102",,Uinta Region,"10,66,052",27,"71,348"
2023,503505,Deserado Mine,Colorado,Rio Blanco,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Blue Mountain Energy Inc,"3607 County Road #65, Rangely, CO 81648",United Mine Workers Of America,Uinta Region,"24,04,865",173,"3,32,110"
2023,503836,Foidel Creek Mine,Colorado,Routt,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Peabody Twentymile Mining Llc,"29515 Routt Cnty Rd#27, Oak Creek, CO 80467",,Uinta Region,"12,01,063",210,"5,17,502"
2023,1103189,Mc#1 Mine,Illinois,Franklin,Active,Underground,Independent Producer Operator,Mine and Preparation Plant,M-Class Mining Llc,"11351 N. Thompsonville Rd., Macedonia, IL 62860",,Illinois Basin,"57,91,526",317,"7,49,986"
2023,1103203,Mine No. 1,Illinois,Hamilton,Active,Underground,Operating Subsidiary,Mine only,"Hamilton County Coal, Llc","18033 County Road 500 East, Dahlgren, IL 62828",,Illinois Basin,"56,24,399",333,"8,15,242"
2023,1103242,Hamilton County Coal Processin,Illinois,Hamilton,Active,Underground,Independent Producer Operator,Preparation Plant,"Hamilton County Coal, Llc","18031 County Rd 500 East, Dahlgren, IL 62828",,Illinois Basin,0,39,"85,130"
2023,1103182,Deer Run Mine,Illinois,Montgomery,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Patton Mining Llc,"P.O. Box 457, Hillsboro, IL 62049",,Illinois Basin,"34,74,414",215,"4,28,009"
2023,1103045,Red Hawk,Illinois,Perry,"Active, men working, not producing",Surface,Independent Producer Operator,Preparation Plant,"Knight Hawk Coal, Llc","500 Cutler-Trico Road, Percy, IL 62272",,Illinois Basin,0,3,"6,593"
2023,1103143,Prairie Eagle,Illinois,Perry,Active,Surface,Operating Subsidiary,Preparation Plant,"Knight Hawk Coal, Llc","500 Cutler-Trico Road, Percy, IL 62272",,Illinois Basin,0,2,"4,719"
2023,1103143,Prairie Eagle,Illinois,Perry,Active,Underground,Operating Subsidiary,Preparation Plant,"Knight Hawk Coal, Llc","500 Cutler-Trico Road, Percy, IL 62272",,Illinois Basin,0,39,"89,655"
2023,1103147,Prairie Eagle-Underground,Illinois,Perry,Active,Underground,Operating Subsidiary,Mine only,"Knight Hawk Coal, Llc","500 Cutler-Trico Rd, Percy, IL 62272",,Illinois Basin,"43,37,390",278,"6,15,376"
2023,1103274,Golden Eagle Mine,Illinois,Perry,Active,Surface,Operating Subsidiary,Mine only,"Knight Hawk Coal, Llc","500 Cutler/Trico Road, Percy, IL 62272",,Illinois Basin,"4,64,143",25,"61,036"
2023,1102546,Preparation Plant,Illinois,Randolph,Active,Underground,Independent Producer Operator,Preparation Plant,"Peabody Midwest Mining, Llc","P.O. Box 397, Coulterville, IL 62237",,Illinois Basin,0,38,"74,092"
2023,1103226,Hawkeye Mine,Illinois,Randolph,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,"Knight Hawk Coal, Llc","500 Cutler-Trico Road, Percy, IL 62272",,Illinois Basin,"17,580",3,"2,955"
2023,1103235,Gateway North Mine,Illinois,Randolph,Active,Underground,Operating Subsidiary,Mine only,"Peabody Gateway North Mining,","12968 State Route 13, Coulterville, IL 62237",,Illinois Basin,"24,37,218",197,"4,04,811"
2023,1103248,Black Hawk,Illinois,Randolph,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,Knight Hawk Coal Llc,"500 Cutler/Trico Road, Percy, IL 62272",,Illinois Basin,"9,145",2,"4,306"
2023,1103225,Watco Transloading/ Cahokia Te,Illinois,St Clair,Active,Surface,Operating Subsidiary,Preparation Plant,Watco Trans Loading Llc,"#2 Monsanto Avenute, Sauget, IL 62201",,Illinois Basin,0,14,"26,506"
2023,1103225,Watco Transloading/ Cahokia Te,Illinois,St Clair,Active,Underground,Operating Subsidiary,Preparation Plant,Watco Trans Loading Llc,"#2 Monsanto Avenute, Sauget, IL 62201",,Illinois Basin,0,14,"26,506"
2023,103554,Shm-30,Illinois,Saline,Permanently abandoned,Surface,Independent Producer Operator,Mine only,"Eagle Highwall Mining Systems,","1358 No.1 Hwm Drive, Ashland, KY 41102",,Illinois Basin,"5,476",10,"6,350"
